Provider,Service,Sector,Quantity,Price,Date
Cisco,Database,,,53,2016-02-06
IBM,Processor,Private,,78,2006-06-07
Amazon,Storage,Private,16,52.75,2002-08-12
IBM,Authentication,Public,5,64.25,2014-05-16
Facebook,Data Science,Private,,74,2012-05-12
Facebook,Containers,NGO,35,,2004-05-25
IBM,Processor,NGO,,,2008-10-18
Oracle,Data Science,NGO,,66.25,2004-03-06
Google,Storage,NGO,,,2014-06-02
Facebook,Data Science,Public,27,57.75,2017-04-25
Microsoft,Storage,NGO,,,2012-03-14
IBM,Storage,Private,,,2011-04-23
IBM,Data Science,NGO,27,69.25,2014-06-02
Google,Authentication,NGO,13,,2018-07-06
Microsoft,Compute,Private,16,66.25,2010-03-05
Microsoft,Storage,,17,,2002-03-15
Amazon,Compute,Private,,,2006-11-24
Oracle,Database,Private,,58.25,2006-05-04
Amazon,Data Science,,,,2003-02-02
Cisco,Processor,Private,27,71.75,2008-03-20
Amazon,Processor,Private,,53,2009-07-26
Oracle,Compute,Private,,,2012-06-14
Microsoft,Containers,,0,61.75,2018-06-04
Microsoft,Storage,Public,,68.5,2016-12-24
Cisco,Storage,NGO,,,2005-05-15
Cisco,Database,NGO,11,77.5,2002-08-25
IBM,Containers,Private,13,71,2014-07-18
IBM,Authentication,,,,2005-06-17
Cisco,Storage,Public,,,2018-08-25
Oracle,Database,,45,70,2014-07-11
Amazon,Authentication,,7,61.25,2016-04-12
Google,Processor,Private,25,,2003-01-24
Google,Containers,Private,,50,2017-03-12
IBM,Containers,Private,38,68.75,2013-06-01
IBM,Data Science,Public,,64.25,2010-07-23
Facebook,Storage,Private,45,72.5,2000-08-12
IBM,Authentication,Private,,61,2003-06-02
Amazon,Compute,,4,52,2008-03-14
Oracle,Containers,,,62.5,2015-04-09
Amazon,Storage,Public,,,2000-04-09
Microsoft,Containers,,32,68,2003-09-08
IBM,Database,NGO,,51.5,2013-08-18
Oracle,Storage,Public,,50.5,2008-09-13
Microsoft,Authentication,NGO,18,68.25,2015-10-10
Microsoft,Containers,NGO,5,68.5,2019-08-13
Oracle,Containers,Private,11,50,2011-07-14
Facebook,Data Science,Public,29,,2003-06-10
Facebook,Containers,NGO,12,66,2010-06-13
IBM,Containers,,,51.75,2017-08-17
Facebook,Data Science,,,,2007-04-24
Amazon,Compute,Private,,75.25,2001-05-04
Amazon,Compute,NGO,,70.25,2006-05-25
Oracle,Storage,Public,,,2018-04-13
IBM,Compute,NGO,,58,2014-06-20
Microsoft,Database,Public,,71,2015-06-22
Microsoft,Processor,Private,,54.25,2019-07-01
IBM,Containers,Private,42,54,2008-03-10
Cisco,Data Science,Private,2,66.75,2010-09-23
Microsoft,Database,NGO,,,2016-05-01
Facebook,Storage,NGO,,50.5,2007-06-25
Oracle,Database,,,,2009-05-23
Amazon,Containers,Public,28,,2002-05-07
Facebook,Processor,Public,,63.75,2018-07-16
Google,Compute,NGO,2,54.5,2008-08-19
Microsoft,Authentication,Public,,,2010-09-10
Facebook,Data Science,Private,,66.25,2011-03-01
Amazon,Database,,,53.5,2014-06-15
Google,Processor,Private,49,65,2009-07-08
Cisco,Storage,,28,,2013-05-20
Facebook,Database,NGO,,,2001-06-09
IBM,Processor,,,71.75,2009-07-13
Oracle,Containers,Private,,,2010-09-03
Cisco,Compute,NGO,9,,2006-05-22
Oracle,Authentication,Public,,80,2016-05-20
Facebook,Compute,,,54.25,2018-07-20
Amazon,Data Science,NGO,49,,2007-05-24
Cisco,Containers,Public,26,76,2002-06-26
Google,Compute,Public,13,,2016-04-10
Google,Database,,,,2016-09-17
Cisco,Database,Public,33,64,2016-08-13
Google,Compute,Private,,,2006-08-15
Google,Database,NGO,,,2016-07-15
Oracle,Containers,NGO,,64,2008-09-16
Microsoft,Database,Private,46,76.25,2010-05-22
IBM,Authentication,,22,72.75,2005-06-08
Facebook,Containers,Public,,,2001-02-05
Oracle,Processor,,,,2008-06-02
Cisco,Containers,Private,8,79.75,2008-06-24
Oracle,Containers,Private,,,2017-06-11
Facebook,Authentication,NGO,,,2007-09-12
IBM,Compute,,,58,2007-07-17
Oracle,Data Science,Private,,80,2013-07-14
IBM,Processor,NGO,,70,2000-05-07
Amazon,Containers,Private,7,,2012-07-21
Facebook,Compute,,,,2016-04-02
Amazon,Containers,,43,57,2004-01-20
Facebook,Processor,Public,18,70.75,2005-08-14
Oracle,Data Science,Private,33,79.25,2006-07-06
Amazon,Authentication,Private,4,62,2011-05-11
IBM,Compute,NGO,14,,2011-09-19
Amazon,Data Science,Public,,52.5,2007-05-22
Microsoft,Data Science,Private,48,60.25,2012-06-01
Oracle,Authentication,Public,,77.25,2016-06-26
IBM,Data Science,,21,,2011-10-15
Amazon,Database,Public,,,2007-03-06
Oracle,Containers,,,55.25,2003-02-25
Google,Database,Public,29,75.75,2019-06-10
IBM,Processor,NGO,44,54.75,2015-05-26
Google,Storage,Public,,,2006-07-05
Cisco,Data Science,Public,,77.25,2008-03-24
Google,Database,NGO,47,68,2003-07-09
Amazon,Data Science,Public,12,,2004-06-12
Cisco,Database,,12,,2010-04-17
Google,Containers,NGO,,,2004-09-24
Microsoft,Storage,Private,24,,2006-06-25
Facebook,Compute,NGO,,57.25,2007-04-04
Cisco,Processor,Public,30,,2015-07-09
Cisco,Containers,Private,12,69.75,2005-05-24
Google,Containers,,,66.25,2014-06-09
Facebook,Storage,NGO,48,54.75,2003-06-23
Oracle,Database,Private,26,79.25,2019-04-05
IBM,Processor,,,59.25,2001-05-16
Amazon,Database,NGO,13,,2006-03-26
IBM,Database,,,68.5,2003-04-13
Google,Storage,Public,,55.25,2015-06-07
IBM,Processor,,,,2010-06-10
Oracle,Storage,Private,29,71,2008-08-09
Amazon,Containers,Public,,,2010-04-24
Cisco,Data Science,NGO,16,74.5,2019-04-26
Oracle,Compute,NGO,,,2017-07-14
Oracle,Compute,Public,16,64.5,2007-08-04
IBM,Containers,Public,,70.25,2006-04-14
IBM,Data Science,,5,66.5,2015-08-11
IBM,Processor,NGO,,69.75,2019-01-03
Cisco,Storage,Public,,53.5,2006-07-14
Microsoft,Containers,Private,42,77,2002-06-25
Cisco,Processor,NGO,,69.25,2000-04-12
Oracle,Containers,Private,,58.75,2001-02-05
Oracle,Database,,13,,2009-05-07
Oracle,Processor,NGO,,,2013-07-13
Microsoft,Data Science,Public,5,64.5,2005-05-11
Oracle,Processor,Private,20,58,2006-07-14
Oracle,Authentication,Public,31,,2006-03-19
Facebook,Database,NGO,,,2018-07-08
Cisco,Storage,Private,35,57,2004-07-24
IBM,Compute,NGO,,65.75,2012-03-13
Oracle,Data Science,NGO,40,,2001-05-03
Facebook,Containers,NGO,,51.25,2006-08-15
Oracle,Compute,Private,,60.25,2011-04-04
Oracle,Database,Public,,,2003-03-14
Cisco,Storage,Private,,54.25,2019-06-20
Facebook,Processor,,17,52.75,2005-05-11
Cisco,Database,,44,80,2012-04-14
Google,Storage,,25,66,2006-10-15
Cisco,Containers,NGO,1,53,2006-06-10
Google,Compute,,,,2013-05-03
Cisco,Data Science,,21,,2016-06-16
Cisco,Data Science,Private,,75.75,2006-08-16
IBM,Data Science,,,74.5,2016-06-14
Google,Processor,,,,2003-04-25
Amazon,Processor,Public,,,2010-03-23
Cisco,Processor,Private,,,2012-11-01
Microsoft,Authentication,Private,,71.25,2014-09-10
Amazon,Processor,Private,46,62.5,2016-06-05
Cisco,Database,,,,2007-08-05
Amazon,Processor,Private,,,2010-04-12
IBM,Database,Private,43,53.75,2012-07-17
Amazon,Compute,Public,27,,2010-01-05
Cisco,Compute,Public,37,53.75,2000-07-21
Amazon,Database,Public,16,,2002-04-25
Amazon,Containers,NGO,49,,2019-06-10
Cisco,Database,Private,39,,2007-05-01
Microsoft,Database,,34,68,2008-08-09
Facebook,Containers,,,,2003-05-06
Amazon,Authentication,Private,14,60.5,2009-03-24
IBM,Containers,Private,2,,2006-05-03
IBM,Processor,NGO,25,52,2012-06-19
Google,Storage,NGO,14,73.25,2008-07-17
Oracle,Data Science,,,77.75,2010-07-26
Amazon,Compute,,,72.5,2010-08-16
Facebook,Authentication,Public,,63,2011-06-16
Cisco,Data Science,,47,52.5,2003-05-14
Cisco,Database,NGO,,,2015-06-15
Oracle,Compute,Private,,,2011-06-10
IBM,Compute,Private,35,,2018-05-20
Oracle,Processor,Private,23,71.5,2011-07-26
Cisco,Authentication,,,54.5,2006-06-25
Facebook,Storage,Public,43,,2014-03-14
IBM,Processor,,,64.75,2017-08-20
Cisco,Storage,Public,,,2009-05-13
Google,Storage,,20,54,2016-09-25
Amazon,Authentication,Private,29,59.5,2003-05-07
Facebook,Data Science,,25,60.75,2004-07-26
Google,Authentication,Private,,52,2004-07-25
Cisco,Storage,Private,,,2017-05-19
IBM,Data Science,NGO,40,58.25,2011-06-05
Cisco,Compute,,,56.5,2015-05-16
IBM,Data Science,Public,,,2007-03-13
Microsoft,Compute,Public,,70,2015-06-22
Oracle,Containers,Public,36,68.75,2005-05-12
Oracle,Processor,NGO,,62,2018-06-13
Google,Database,,,,2013-04-13
Cisco,Storage,Public,31,64.5,2010-03-15
Google,Processor,Private,38,79.5,2000-08-12
Facebook,Storage,,46,56.25,2001-04-26
Cisco,Database,,14,79.25,2018-05-22
Facebook,Storage,Public,35,56.75,2012-11-21
Microsoft,Processor,,,58.75,2012-07-19
Oracle,Processor,Private,,,2014-05-20
Facebook,Processor,NGO,33,78,2014-08-11
Cisco,Authentication,Private,,,2014-05-01
Google,Processor,Public,6,67.75,2004-07-05
Cisco,Authentication,,,62.5,2009-06-22
Facebook,Storage,,,,2000-06-21
Microsoft,Storage,,,76.25,2010-12-11
Google,Processor,Public,,,2014-08-12
Microsoft,Containers,Public,,51.75,2010-07-07
Microsoft,Containers,NGO,37,73,2001-06-12
Facebook,Database,Private,34,,2019-07-03
Facebook,Containers,NGO,14,76,2016-07-04
Cisco,Authentication,Public,,59.75,2007-06-02
Microsoft,Authentication,,20,,2004-04-26
Facebook,Authentication,NGO,21,,2011-07-02
Facebook,Processor,Public,36,,2016-08-04
Amazon,Containers,Public,,,2002-04-24
IBM,Processor,NGO,,,2006-04-18
Oracle,Containers,Public,3,,2019-07-07
Facebook,Processor,NGO,9,,2014-03-17
Cisco,Data Science,Private,44,,2004-07-01
Google,Database,Public,45,,2018-09-09
Cisco,Storage,Private,6,78,2013-03-04
Oracle,Compute,,33,62,2008-08-12
Cisco,Containers,Public,,,2008-04-08
IBM,Database,Public,49,,2007-06-11
Google,Processor,Public,,58.5,2018-12-14
Cisco,Database,Public,,,2002-08-02
Amazon,Database,NGO,30,62.25,2000-05-25
Facebook,Compute,Public,17,52,2015-08-08
Oracle,Storage,Private,10,,2017-01-26
Amazon,Authentication,Private,,66.5,2006-07-10
Oracle,Database,Private,20,,2012-05-06
Cisco,Authentication,Private,23,,2016-06-10
Facebook,Containers,NGO,50,72.75,2005-06-05
Cisco,Compute,Private,7,74.75,2013-06-22
Amazon,Authentication,Private,,54.5,2012-02-06
Cisco,Containers,Public,34,,2017-04-01
Amazon,Storage,,45,,2016-05-13
Microsoft,Database,,25,53,2011-06-14
Microsoft,Containers,Private,26,,2014-07-24
IBM,Database,,29,,2018-06-23
Oracle,Compute,NGO,18,,2005-07-01
IBM,Authentication,Public,,72,2003-07-10
Oracle,Authentication,NGO,,57.25,2012-06-04
Microsoft,Processor,Public,10,75,2015-05-23
IBM,Containers,NGO,46,,2010-07-26
Amazon,Data Science,NGO,1,,2015-03-11
Facebook,Processor,Private,19,,2009-01-15
Cisco,Containers,Private,,55.25,2001-02-23
Google,Authentication,Public,,,2004-05-08
Google,Data Science,Public,0,76,2007-05-09
Google,Processor,NGO,31,,2019-08-14
IBM,Compute,Private,2,56.75,2017-08-15
Facebook,Database,Public,,76.25,2013-06-23
Facebook,Authentication,,,75,2019-03-21
Cisco,Containers,NGO,,,2005-08-08
Google,Database,,,59,2004-05-08
Microsoft,Storage,NGO,,,2007-05-13
Cisco,Containers,Public,41,66.5,2018-08-16
Amazon,Compute,Private,9,,2007-02-25
Cisco,Containers,Private,,56.5,2002-09-12
Google,Containers,Public,,69.25,2004-04-08
Facebook,Storage,,,52.25,2008-05-24
Facebook,Data Science,Public,42,64.75,2011-05-13
IBM,Compute,Private,,62.25,2004-04-10
IBM,Storage,Public,,74.25,2019-04-15
Oracle,Authentication,Public,,70.25,2004-06-16
IBM,Compute,,36,75,2017-07-01
IBM,Storage,Public,,57,2002-09-09
IBM,Data Science,NGO,,,2000-06-21
IBM,Data Science,Private,0,59,2015-09-24
Facebook,Database,Private,46,,2018-07-08
Oracle,Authentication,,,,2005-08-06
Facebook,Containers,Public,0,61.75,2010-07-07
Google,Compute,Public,,,2017-04-23
Google,Containers,Public,,61.75,2018-07-06
Cisco,Containers,,,,2005-10-01
Google,Compute,Private,,,2013-08-22
IBM,Processor,,43,55.75,2011-06-10
Microsoft,Database,NGO,,64.75,2018-07-09
Facebook,Containers,Public,,,2014-09-03
Google,Storage,Public,,,2000-04-02
Google,Authentication,Public,12,,2007-04-01
Facebook,Containers,,,,2002-06-23
Cisco,Processor,NGO,3,68.5,2016-06-17
Facebook,Processor,NGO,33,74.25,2006-05-13
Oracle,Compute,,4,,2008-04-22
Facebook,Compute,,,56.5,2000-06-18
IBM,Authentication,Private,,77.25,2004-06-26
Facebook,Processor,,,75.75,2009-07-12
IBM,Processor,Public,35,,2012-05-18
Google,Processor,Private,27,,2010-08-13
Oracle,Processor,Private,8,60,2009-05-17
IBM,Authentication,NGO,,58,2018-07-07
Facebook,Data Science,NGO,25,,2014-08-04
Facebook,Compute,Private,24,,2013-05-03
Oracle,Storage,NGO,2,,2001-03-14
Google,Authentication,Public,5,,2013-07-04
Facebook,Authentication,Public,,57.75,2016-06-02
Microsoft,Containers,NGO,14,68.5,2010-07-03
Amazon,Database,NGO,23,73,2009-03-11
Facebook,Compute,NGO,38,,2008-10-23
Oracle,Database,Public,28,75.5,2010-08-22
Microsoft,Compute,Private,,60.5,2012-11-26
Cisco,Storage,NGO,,57.5,2001-05-04
Oracle,Processor,,41,,2006-05-08
Amazon,Data Science,NGO,2,,2009-08-07
Oracle,Database,NGO,40,68,2010-06-07
Oracle,Processor,,,64.25,2010-04-15
Oracle,Authentication,NGO,,61.25,2000-08-15
Google,Data Science,NGO,4,,2011-03-23
Microsoft,Compute,,13,65.5,2000-04-19
IBM,Authentication,Private,37,66.75,2006-08-09
Google,Data Science,Public,44,72.75,2001-03-14
Cisco,Compute,NGO,,56,2017-03-09
IBM,Database,Private,27,,2019-08-01
Cisco,Compute,,,,2002-04-20
Cisco,Database,,20,61.75,2009-07-02
IBM,Containers,Public,11,,2018-04-23
IBM,Data Science,,,70.75,2011-02-02
Microsoft,Storage,,24,64,2011-03-10
Oracle,Compute,Public,21,,2019-07-10
Microsoft,Authentication,Public,,,2007-07-10
Cisco,Storage,NGO,,64.25,2002-07-04
Amazon,Authentication,,,62.25,2014-07-10
Microsoft,Compute,,,55.5,2015-02-18
Google,Containers,Public,,58.75,2001-05-24
IBM,Containers,Private,,56.25,2007-05-16
Cisco,Processor,NGO,,,2007-05-25
Facebook,Containers,NGO,,64.25,2015-05-03
Facebook,Compute,Private,25,,2006-05-18
Google,Compute,Private,30,55.5,2006-06-17
IBM,Compute,NGO,34,61,2014-08-23
Google,Compute,Public,48,,2010-05-10
Facebook,Data Science,Public,24,52.25,2010-10-14
Oracle,Storage,Public,23,,2010-06-20
Google,Data Science,Public,,51.5,2013-04-06
Amazon,Processor,,33,,2014-09-07
Google,Authentication,Private,18,50,2007-09-19
Microsoft,Processor,Public,,70.5,2015-03-06
Facebook,Containers,,38,,2007-07-16
Facebook,Data Science,Public,,61.25,2019-07-15
Cisco,Data Science,NGO,,55,2001-02-10
Amazon,Storage,Private,22,,2019-05-17
Facebook,Database,Public,44,,2006-05-25
Cisco,Data Science,,13,,2016-06-08
Facebook,Compute,NGO,22,,2017-06-18
IBM,Compute,Public,,60.5,2011-05-02
Facebook,Database,NGO,2,62.5,2011-06-16
Cisco,Containers,NGO,4,73.25,2012-09-02
Facebook,Containers,,,60.75,2014-05-15
Amazon,Data Science,Private,,,2002-08-19
Microsoft,Authentication,NGO,21,,2009-09-04
Google,Compute,Public,50,55,2015-06-19
Amazon,Compute,Private,,50.75,2011-10-16
Oracle,Database,Private,50,,2008-06-17
Facebook,Processor,Public,40,,2013-09-22
Cisco,Database,Public,,77,2008-04-09
Oracle,Data Science,Public,,57.25,2008-07-21
Amazon,Storage,Private,17,,2004-07-02
Amazon,Compute,Private,25,,2012-10-05
Cisco,Data Science,Private,16,55.25,2005-08-23
IBM,Containers,,24,66,2001-04-20
Google,Processor,Private,,77.25,2015-05-01
Oracle,Storage,,,55.25,2017-06-02
Amazon,Database,Public,28,,2007-11-26
Facebook,Processor,,26,,2007-09-25
Oracle,Processor,NGO,,74.75,2013-06-08
Oracle,Compute,Public,8,,2017-03-10
Cisco,Processor,Private,31,59.25,2006-04-19
IBM,Storage,Private,,,2019-10-12
Amazon,Compute,NGO,,,2001-04-01
IBM,Containers,Private,42,76,2015-05-07
Oracle,Database,,,57,2004-06-04
Oracle,Authentication,Private,,,2008-06-01
Oracle,Authentication,Public,,63.25,2017-03-09
Amazon,Containers,NGO,44,56.25,2002-05-01
IBM,Storage,Public,36,,2000-06-09
Google,Database,NGO,7,67,2007-05-08
Amazon,Containers,NGO,1,,2008-05-26
Facebook,Processor,Public,,66.25,2018-04-05
Oracle,Database,,,77,2011-05-03
Facebook,Database,NGO,,,2014-09-19
Microsoft,Authentication,Private,45,78.5,2005-07-14
Google,Database,Public,33,68.5,2011-07-13
IBM,Containers,NGO,3,74.5,2014-07-10
Facebook,Data Science,NGO,,,2002-04-06
Google,Storage,,0,79.75,2010-07-06
Amazon,Containers,NGO,,,2001-09-01
Cisco,Compute,Private,9,,2000-07-20
Amazon,Data Science,,43,77,2005-06-11
Facebook,Processor,Private,45,75.5,2010-07-21
IBM,Data Science,Public,32,68.5,2012-06-02
Oracle,Data Science,Public,50,67.25,2010-04-02
Cisco,Storage,,18,78.5,2013-05-05
IBM,Containers,Private,9,57.25,2008-05-14
Oracle,Processor,,12,56,2016-01-23
Facebook,Data Science,Public,,,2009-09-22
Microsoft,Compute,Private,,50,2006-09-02
Oracle,Containers,,,75.25,2009-05-09
Facebook,Authentication,,46,63.75,2018-06-15
Google,Authentication,Public,34,59,2010-06-21
Amazon,Storage,NGO,,58,2018-05-09
Amazon,Authentication,NGO,,51.75,2015-06-21
Oracle,Authentication,NGO,37,52.5,2008-08-17
Google,Data Science,NGO,32,,2010-08-24
IBM,Data Science,,,,2008-08-08
IBM,Data Science,Private,,,2003-06-06
IBM,Data Science,Public,,51,2012-08-14
IBM,Data Science,NGO,26,65,2014-05-07
Cisco,Storage,Public,,,2017-09-08
Cisco,Data Science,NGO,13,,2007-05-21
Cisco,Processor,Private,38,,2017-07-03
Amazon,Processor,Private,,,2004-07-17
Microsoft,Compute,Public,30,,2004-04-02
Google,Data Science,Public,,79.75,2018-07-03
Facebook,Compute,Public,21,66.75,2015-06-19
Oracle,Storage,,,71.5,2012-06-26
Amazon,Data Science,Private,,75,2010-04-15
IBM,Storage,Private,45,,2016-06-04
Microsoft,Compute,Private,19,,2007-04-02
Microsoft,Authentication,Private,,50,2018-06-17
Oracle,Authentication,NGO,,,2014-07-23
Google,Database,Public,13,,2012-04-26
IBM,Data Science,Public,8,66.5,2019-04-14
Google,Authentication,Public,,54,2017-06-26
Cisco,Authentication,NGO,,70.5,2006-07-21
Google,Storage,,8,,2014-08-05
Google,Data Science,,26,,2012-07-23
Amazon,Processor,Private,,52.75,2010-06-08
Amazon,Data Science,NGO,,72.75,2012-05-24
IBM,Processor,NGO,,56.25,2010-08-24
Amazon,Data Science,Private,44,,2015-06-23
IBM,Authentication,NGO,40,,2012-06-22
Google,Storage,Private,,52.75,2013-06-06
Oracle,Processor,Public,,55,2004-02-09
Amazon,Data Science,Private,35,72,2010-07-05
Google,Storage,Public,,,2015-10-08
Oracle,Database,,36,63.5,2012-04-03
IBM,Data Science,Private,,68,2009-06-26
Facebook,Authentication,,,,2007-10-10
Facebook,Compute,,42,,2001-04-16
Oracle,Processor,NGO,,53.25,2000-07-09
Facebook,Processor,Public,38,50,2003-06-17
Google,Containers,Private,2,54,2012-05-25
IBM,Containers,NGO,4,59.25,2006-08-18
Amazon,Containers,Public,29,,2012-07-07
Amazon,Authentication,NGO,20,,2011-04-05
Amazon,Data Science,,10,57.25,2002-06-23
Cisco,Compute,NGO,0,,2001-06-03
Oracle,Compute,NGO,,,2009-05-20
Amazon,Processor,Private,46,51.75,2009-03-23
Microsoft,Storage,Private,34,55.25,2019-08-12
Microsoft,Data Science,Public,46,,2015-06-01
Amazon,Data Science,Private,,71.75,2009-07-21
IBM,Authentication,,,72.5,2001-04-12
Amazon,Containers,Public,39,,2017-05-14
Cisco,Database,Private,33,67.5,2014-04-07
Microsoft,Compute,Public,,,2002-11-03
Amazon,Authentication,Public,38,62.25,2014-06-20
Amazon,Containers,,,,2001-07-09
Google,Data Science,NGO,26,,2018-05-14
Google,Containers,Public,,50.5,2010-05-02
Oracle,Database,NGO,21,52.5,2011-05-06
Microsoft,Database,NGO,24,,2005-08-23
Amazon,Data Science,Public,30,51.5,2006-06-10
Oracle,Containers,Public,,76.5,2000-06-16
Microsoft,Database,Public,19,61,2004-03-16
IBM,Storage,Public,17,,2002-05-17
IBM,Processor,NGO,6,72.25,2006-08-19
Microsoft,Data Science,NGO,,70,2007-05-08
Google,Containers,NGO,10,57.25,2004-08-20
IBM,Processor,Public,25,,2003-06-04
Google,Containers,,26,77.75,2004-06-10
Amazon,Compute,NGO,11,66.75,2009-03-07
Microsoft,Authentication,NGO,36,61.5,2019-07-19
Microsoft,Authentication,NGO,,,2001-06-09
Microsoft,Storage,Private,7,,2007-08-15
IBM,Authentication,NGO,11,51.75,2007-05-01
Oracle,Database,,8,62.75,2003-04-15
Google,Containers,,,,2006-05-20
Oracle,Compute,NGO,,50.5,2010-06-07
Microsoft,Authentication,NGO,12,66.25,2005-06-18
Google,Storage,NGO,5,,2017-06-25
Microsoft,Storage,NGO,32,72.25,2014-05-09
Amazon,Storage,Private,39,58.5,2007-05-16
Microsoft,Processor,Public,,,2016-06-09
Google,Compute,NGO,,61,2018-06-16
Google,Data Science,Private,47,57.25,2005-04-14
Cisco,Processor,NGO,,71,2016-03-25
Microsoft,Containers,,,,2003-06-18
Facebook,Data Science,Public,,58,2016-04-13
IBM,Compute,Private,46,66.5,2017-07-25
Google,Storage,NGO,9,,2011-03-24
Oracle,Database,Public,25,66,2005-07-20
Amazon,Authentication,NGO,28,74,2012-10-07
Amazon,Compute,NGO,0,,2017-01-18
Google,Containers,Public,,70.25,2014-07-01
Amazon,Storage,NGO,3,72.75,2018-08-21
Oracle,Storage,,,,2007-08-11
IBM,Data Science,,,55.25,2013-08-04
Google,Authentication,,,69,2002-08-11
Microsoft,Database,,26,80,2013-06-08
Facebook,Data Science,Private,35,,2011-04-13
Oracle,Authentication,Public,,70.5,2000-05-16
Facebook,Storage,Private,29,,2006-05-15
Google,Containers,NGO,,,2012-04-02
Oracle,Database,,,59.25,2015-07-04
Cisco,Authentication,,23,,2012-05-17
Microsoft,Authentication,Private,26,,2010-04-04
Google,Database,NGO,,,2018-05-24
IBM,Authentication,NGO,,,2002-06-02
Amazon,Authentication,,,61.5,2006-06-18
Cisco,Storage,Public,,68,2003-05-22
Google,Database,NGO,48,,2012-05-15
Microsoft,Authentication,Private,,,2011-06-09
IBM,Containers,NGO,,,2007-03-26
Amazon,Storage,Private,,,2009-05-14
Cisco,Database,,39,,2017-05-04
IBM,Compute,,,52.25,2012-07-06
Amazon,Compute,Public,47,62.5,2017-06-01
IBM,Compute,Public,33,75.75,2017-08-07
Cisco,Data Science,Private,35,72.25,2000-09-16
Oracle,Compute,Public,44,52.75,2016-07-20
Microsoft,Compute,Public,42,71.75,2018-06-26
Google,Database,NGO,,54.75,2001-07-04
Oracle,Data Science,Public,,66,2007-08-22
Amazon,Authentication,NGO,,,2010-06-26
Cisco,Containers,,33,,2004-05-13
IBM,Storage,NGO,37,53.75,2015-09-10
Google,Storage,Public,37,,2004-05-15
Google,Processor,,36,73,2012-04-26
Oracle,Authentication,NGO,,51.75,2013-01-25
Google,Authentication,Public,,78.75,2016-11-21
Oracle,Storage,NGO,7,,2000-08-07
Facebook,Data Science,Public,15,55.5,2012-06-24
Facebook,Data Science,NGO,,51,2004-07-07
Microsoft,Compute,,,57,2003-06-22
Google,Compute,Public,,,2007-06-06
Google,Storage,,35,55,2003-10-24
Cisco,Processor,NGO,44,55,2011-07-13
Facebook,Storage,,0,,2002-09-03
Cisco,Authentication,NGO,,,2001-05-12
Cisco,Data Science,Private,37,67,2016-04-03
Oracle,Processor,,,,2008-06-01
Google,Containers,Public,14,70.5,2016-08-25
Oracle,Containers,,,62.75,2008-05-13
Google,Authentication,NGO,48,55.5,2007-05-17
Amazon,Data Science,Private,,,2015-04-02
IBM,Data Science,,40,78,2006-04-21
Facebook,Data Science,Private,32,,2009-06-02
Facebook,Storage,NGO,18,,2015-05-23
Cisco,Storage,,33,,2019-04-02
Google,Authentication,Private,,68,2014-05-20
Facebook,Database,,10,50,2002-06-22
Amazon,Storage,NGO,32,,2013-09-22
Google,Data Science,NGO,,,2014-05-02
Amazon,Compute,NGO,27,73.5,2006-05-09
Google,Processor,Public,,77.75,2018-08-18
IBM,Authentication,Private,13,,2000-05-01
Oracle,Data Science,Private,,,2007-07-03
Oracle,Data Science,Public,7,,2013-07-19
Google,Compute,,16,60.25,2017-06-11
Facebook,Storage,,19,64.25,2007-05-13
IBM,Storage,,,65.75,2014-06-05
Cisco,Compute,,0,52.75,2009-04-02
Microsoft,Data Science,NGO,,,2011-08-21
Oracle,Containers,Public,,,2008-05-04
Microsoft,Data Science,,43,,2017-06-05
Amazon,Processor,Public,48,,2010-10-02
Oracle,Authentication,Private,37,55.5,2008-06-04
Oracle,Processor,Public,0,,2018-09-01
Cisco,Containers,,14,63,2000-08-07
IBM,Compute,Private,,57.5,2012-05-23
Microsoft,Data Science,Private,,54.25,2004-07-10
Cisco,Compute,NGO,,,2011-05-12
Microsoft,Storage,Public,13,63.5,2018-06-26
Microsoft,Storage,Public,,74.5,2004-04-17
Cisco,Database,,37,,2016-07-08
Facebook,Containers,Public,48,51.75,2009-09-24
Cisco,Processor,Public,,,2014-07-02
Oracle,Database,NGO,27,61.75,2008-08-04
Google,Authentication,,,51,2017-06-24
Amazon,Containers,NGO,,69,2003-03-03
Facebook,Authentication,Public,17,,2017-05-01
Microsoft,Data Science,Public,3,66.25,2011-08-07
IBM,Containers,Private,7,,2000-07-18
IBM,Processor,Private,46,65.5,2017-06-05
Cisco,Authentication,Private,,,2009-07-13
Google,Containers,NGO,,,2011-07-13
Amazon,Containers,,46,50,2009-09-26
Oracle,Storage,,,,2017-01-17
Oracle,Authentication,,30,52.75,2008-07-10
IBM,Database,NGO,4,62.5,2016-02-20
Cisco,Storage,Private,,,2012-07-24
Microsoft,Authentication,,43,,2006-04-04
Facebook,Storage,Private,,,2009-07-18
Google,Processor,NGO,22,,2019-06-21
Google,Authentication,,,67.25,2012-07-18
Oracle,Compute,Private,24,,2016-01-26
Microsoft,Authentication,Private,31,,2008-01-10
Oracle,Data Science,Public,,71.25,2012-11-11
Cisco,Compute,Public,,,2001-06-18
Facebook,Compute,Public,,63.5,2011-08-26
Facebook,Compute,Public,,68.75,2015-07-09
IBM,Containers,,,77.75,2003-08-03
IBM,Database,Private,,76.25,2013-07-03
Google,Compute,Public,46,51.5,2008-05-23
Microsoft,Compute,NGO,,57.25,2003-07-21
IBM,Authentication,Private,,,2018-09-26
